
Program Name,Host Institution,Description,Eligibility,Application Deadline,Stipend/Funding,Duration
Alex's Lemonade Stand Foundation Pediatric Oncology Student Training (POST),Alex's Lemonade Stand Foundation,Pediatric oncology research training for students interested in oncology.,Graduate or undergraduate medical students; must dedicate 8+ consecutive weeks; interest in pediatric oncology research,mid-February,"Up to $5,000",8+ weeks
AACAP Summer Medical Student Fellowship,American Academy of Child and Adolescent Psychiatry (AACAP),Clinical or research training in child & adolescent psychiatry.,Medical students; interest in child & adolescent psychiatry; must attend AACAP Annual Meeting,early March,"$3,500 stipend plus registration/travel to AACAP Annual Meeting",12 weeks
AANS Medical Student Summer Research Fellowship,American Association of Neurological Surgeons (AANS),Neurosurgical laboratory research experience.,Medical students in the U.S. or Canada who have completed 1–2 years,early February,"$2,500",10–12 weeks
AATS Summer Intern Scholarship in Cardiothoracic Surgery,American Association for Thoracic Surgery,Cardiothoracic surgery exposure; research and clinical experience.,First- or second-year medical students from North American institutions,mid-December,"$2,500 and complimentary Annual Meeting registration",8 weeks
ABTA Medical Student Summer Fellowship,American Brain Tumor Association,Neuro‑oncology research with scientist mentors.,Current medical students interested in brain tumor research,late January,"$3,000",10–12 weeks
ASN Clinical Nutrition Internship Program,American Society for Nutrition,Clinical nutrition research internships at U.S. medical schools or hospitals.,Medical students; internship schedule usually in summer,mid-March,"$2,500",8 weeks
ASH Minority Medical Student Award Program (MMSAP),American Society of Hematology,Research experiences in hematology for underrepresented minority students.,Underrepresented minority medical students in first or second year,mid-January,"$5,000 + travel allowance",8–12 weeks
Arnold P. Gold Foundation Student Summer Fellowship,Arnold P. Gold Foundation,Research or service fellowships promoting compassionate care.,Medical students proposing 10‑week projects,March,"$4,000",10 weeks
ASTRO Minority Summer Fellowship Award,American Society for Radiation Oncology (ASTRO),Exposure to radiation oncology research for underrepresented students.,Medical students from backgrounds under‑represented in medicine,mid-February,Stipend provided,8 weeks
Betty Ford Center Summer Institute for Medical Students,Betty Ford Center,Five‑day program exploring addiction and recovery.,Medical students; interest in addiction medicine; no academic credit,early March (priority),"Full scholarship covering travel, lodging and tuition",5 days
"CUPID (Cancer in the Under‑Privileged, Indigent or Disadvantaged) Summer Fellowship",Johns Hopkins University School of Medicine,Laboratory‑based fellowship focusing on bringing modern cancer research to underserved populations.,Medical students interested in cancer research for underserved populations,Varies (see website),Funding details available on program site,~8 weeks
Campagna Summer Research Scholarship in Neurological Surgery,Oregon Health & Science University (OHSU),Neurosurgery research scholarship including living expenses and travel.,First- or second-year medical students with serious interest in neurological surgery,February,"$5,000 + up to $2,500 for meeting travel",10 weeks
CHLA Summer Oncology Fellowship Program,Children's Hospital Los Angeles,Oncology research fellowship for first‑year medical students (disadvantaged students encouraged).,First-year medical students; particularly those from adverse or disadvantaged backgrounds,mid-January,$600 per week,10–12 weeks
Children's Mercy Hospital Department of Orthopedics Summer Program,Children's Mercy Hospital,Research and exposure in pediatric orthopedics and rehabilitation.,Students who devote ~20 hours per week; open to medical students,mid-November,Stipend provided,Summer (varies)
